activity_id,hr_accuracy_in_segment,hr_accuracy_entire_activity,timestamp_start,timestamp_end
14361210862,wrong,mixed,2024-03-11 18:18:22+00:00,2024-03-11 18:19:37+00:00
14441010384,perfect,use_all,2024-03-16 17:16:02+00:00,2024-03-16 20:29:40+00:00
14313679849,wrong,mixed,2024-03-08 16:13:15+00:00,2024-03-08 16:17:30+00:00
14161114490,wrong,mixed,2024-02-27 17:50:58+00:00,2024-02-27 17:53:48+00:00
14057922527,wrong,mixed,2024-02-20 17:49:10+00:00,2024-02-20 17:55:31+00:00
14057922527,medium,mixed,2024-02-20 18:00:50+00:00,2024-02-20 18:02:03+00:00
14057922527,wrong,mixed,2024-02-20 18:03:49+00:00,2024-02-20 18:09:59+00:00
14057922527,wrong,mixed,2024-02-20 18:12:59+00:00,2024-02-20 18:14:17+00:00
14057922527,wrong,mixed,2024-02-20 18:17:27+00:00,2024-02-20 18:26:09+00:00
14002123070,wrong,mixed,2024-02-17 09:06:20+00:00,2024-02-17 09:27:34+00:00
