activity_id,hr_accuracy_in_segment,hr_accuracy_entire_activity,timestamp_start,timestamp_end
14361210862,wrong,mixed,2024-03-11 18:18:22+00:00,2024-03-11 18:19:37+00:00
14441010384,perfect,use_all,2024-03-16 17:16:02+00:00,2024-03-16 20:29:40+00:00
14313679849,wrong,mixed,2024-03-08 16:13:15+00:00,2024-03-08 16:17:30+00:00
14161114490,wrong,mixed,2024-02-27 17:50:58+00:00,2024-02-27 17:53:48+00:00
14057922527,wrong,mixed,2024-02-20 17:49:10+00:00,2024-02-20 17:55:31+00:00
14057922527,medium,mixed,2024-02-20 18:00:50+00:00,2024-02-20 18:02:03+00:00
14057922527,wrong,mixed,2024-02-20 18:03:49+00:00,2024-02-20 18:09:59+00:00
14057922527,wrong,mixed,2024-02-20 18:12:59+00:00,2024-02-20 18:14:17+00:00
14057922527,wrong,mixed,2024-02-20 18:17:27+00:00,2024-02-20 18:26:09+00:00
14002123070,wrong,use_none,2024-02-17 09:06:20+00:00,2024-02-17 10:56:35+00:00
13963180260,wrong,use_none,2024-02-14 17:28:10+00:00,2024-02-14 18:20:27+00:00
13738732552,wrong,mixed,2024-01-30 18:08:30+00:00,2024-01-30 18:16:30+00:00
13691527295,medium,mixed,2024-01-27 12:12:05+00:00,2024-01-27 12:27:55+00:00
13691527295,wrong,mixed,2024-01-27 12:32:56+00:00,2024-01-27 12:34:20+00:00
13691527295,wrong,mixed,2024-01-27 12:39:31+00:00,2024-01-27 12:42:01+00:00
13691527295,wrong,mixed,2024-01-27 12:44:03+00:00,2024-01-27 12:44:32+00:00
13691527295,wrong,mixed,2024-01-27 12:46:53+00:00,2024-01-27 12:47:11+00:00
13691527295,wrong,mixed,2024-01-27 12:46:53+00:00,2024-01-27 12:47:11+00:00
13691527295,wrong,mixed,2024-01-27 12:49:04+00:00,2024-01-27 12:50:29+00:00
13691527295,wrong,mixed,2024-01-27 12:51:44+00:00,2024-01-27 12:52:22+00:00
13691527295,wrong,mixed,2024-01-27 13:06:56+00:00,2024-01-27 13:11:10+00:00
13691527295,wrong,mixed,2024-01-27 13:23:14+00:00,2024-01-27 13:36:52+00:00
